total_memory(B),available_memory(B),used_memory(B),free_memory(B),percent_used(%),active_memory(B),inactive_memory(B),buffers(B),cached(B),shared_memory(B),slab(B)
7910813696,6859837440,769159168,6702526464,13.3,113377280,630063104,18112512,421015552,3678208,187678720
7910813696,6859583488,769413120,6702272512,13.3,113377280,630063104,18112512,421015552,3678208,187957248
7910813696,6859583488,769413120,6702272512,13.3,113377280,630063104,18120704,421007360,3678208,187424768
7910813696,6859583488,769404928,6702272512,13.3,113377280,630042624,18120704,421015552,3678208,187719680
7910813696,6857269248,771735552,6699941888,13.3,113393664,630046720,18120704,421015552,3678208,187809792
7910813696,6857269248,771735552,6699941888,13.3,113393664,630046720,18120704,421015552,3678208,187555840
7910813696,6857269248,771735552,6699941888,13.3,113393664,630046720,18120704,421015552,3678208,187564032
7910813696,6857269248,771727360,6699941888,13.3,113393664,630046720,18128896,421015552,3678208,187662336
7910813696,6857269248,771727360,6699941888,13.3,113393664,630046720,18128896,421015552,3678208,187408384
7910813696,6857269248,771727360,6699941888,13.3,113393664,630046720,18128896,421015552,3678208,187662336
7910813696,6857269248,771727360,6699941888,13.3,113393664,630046720,18128896,421015552,3678208,187662336
7910813696,6857269248,771727360,6699941888,13.3,113393664,630046720,18128896,421015552,3678208,187408384
7910813696,6857269248,771727360,6699941888,13.3,113393664,630046720,18137088,421007360,3678208,187662336
7910813696,6857269248,771719168,6699941888,13.3,113393664,630046720,18137088,421015552,3678208,187662336
7910813696,6857269248,771719168,6699941888,13.3,113393664,630046720,18137088,421015552,3678208,187408384
7910813696,6859403264,769601536,6702059520,13.3,113410048,630046720,18137088,421015552,3678208,187662336
7910813696,6859403264,769601536,6702059520,13.3,113410048,630046720,18137088,421015552,3678208,187621376
7910813696,6859145216,769859584,6701801472,13.3,113410048,630046720,18145280,421007360,3678208,187408384
7910813696,6858895360,770101248,6701547520,13.3,113410048,630046720,18145280,421019648,3678208,187666432
7910813696,6858895360,770101248,6701547520,13.3,113410048,630046720,18145280,421019648,3678208,187666432
7910813696,6858895360,770101248,6701547520,13.3,113410048,630046720,18145280,421019648,3678208,187666432
7910813696,6858895360,770097152,6701547520,13.3,113410048,630042624,18145280,421023744,3678208,187527168
7910813696,6858895360,770097152,6701547520,13.3,113410048,630042624,18153472,421015552,3678208,187822080
7910813696,6858895360,770088960,6701547520,13.3,113410048,630042624,18153472,421023744,3678208,187420672
7910813696,6858895360,770088960,6701547520,13.3,113410048,630042624,18153472,421023744,3678208,187674624
7910813696,6856835072,772165632,6699470848,13.3,113426432,630042624,18153472,421023744,3678208,187674624
7910813696,6856839168,772165632,6699470848,13.3,113426432,630050816,18153472,421023744,3678208,187420672
7910813696,6856839168,772165632,6699470848,13.3,113426432,630050816,18161664,421015552,3678208,187609088
7910813696,6856839168,772157440,6699470848,13.3,113426432,630050816,18161664,421023744,3678208,187985920
7910813696,6856839168,772157440,6699470848,13.3,113426432,630050816,18161664,421023744,3678208,187609088
7910813696,6856839168,772157440,6699470848,13.3,113426432,630050816,18161664,421023744,3678208,187863040
7910813696,6856077312,772919296,6698708992,13.3,113426432,630050816,18161664,421023744,3678208,187617280
7910813696,6856077312,772919296,6698708992,13.3,113426432,630050816,18169856,421015552,3678208,187420672
7910813696,6856077312,772911104,6698708992,13.3,113426432,630050816,18169856,421023744,3678208,187674624
7910813696,6856077312,772911104,6698708992,13.3,113426432,630050816,18169856,421023744,3678208,187674624
7910813696,6858211328,770793472,6700826624,13.3,113442816,630050816,18169856,421023744,3678208,187420672
7910813696,6858211328,770793472,6700826624,13.3,113442816,630050816,18169856,421023744,3678208,187928576
7910813696,6858211328,770785280,6700826624,13.3,113442816,630030336,18178048,421023744,3678208,187699200
7910813696,6858211328,770785280,6700826624,13.3,113442816,630030336,18178048,421023744,3678208,187420672
7910813696,6858211328,770785280,6700826624,13.3,113442816,630030336,18178048,421023744,3678208,187633664
7910813696,6858223616,770772992,6700826624,13.3,113446912,630059008,18186240,421027840,3678208,187625472
7910813696,6857965568,771039232,6700560384,13.3,113455104,630046720,18186240,421027840,3678208,187740160
7910813696,6857973760,771031040,6700568576,13.3,113455104,630075392,18186240,421027840,3678208,187604992
7910813696,6857973760,771031040,6700568576,13.3,113455104,630075392,18186240,421027840,3678208,187662336
7910813696,6857973760,771031040,6700568576,13.3,113455104,630075392,18186240,421027840,3678208,187375616
7910813696,6855897088,773107712,6698491904,13.3,113455104,630075392,18194432,421019648,3678208,187883520
7910813696,6855901184,773099520,6698491904,13.3,113459200,630075392,18194432,421027840,3678208,187555840
7910813696,6855901184,773099520,6698491904,13.3,113459200,630075392,18194432,421027840,3678208,187375616
7910813696,6855901184,773099520,6698491904,13.3,113459200,630075392,18194432,421027840,3678208,187629568
7910813696,6855901184,773099520,6698491904,13.3,113459200,630075392,18194432,421027840,3678208,187629568
7910813696,6855901184,773099520,6698491904,13.3,113459200,630075392,18194432,421027840,3678208,187375616
7910813696,6855901184,773091328,6698491904,13.3,113459200,630075392,18202624,421027840,3678208,187473920
7910813696,6855901184,773091328,6698491904,13.3,113459200,630075392,18202624,421027840,3678208,187727872
7910813696,6855901184,773091328,6698491904,13.3,113459200,630075392,18202624,421027840,3678208,187375616
7910813696,6855901184,773091328,6698491904,13.3,113459200,630075392,18202624,421027840,3678208,187375616
7910813696,6858018816,770973696,6700609536,13.3,113459200,630075392,18202624,421027840,3678208,187785216
7910813696,6858031104,770965504,6700609536,13.3,113471488,630128640,18210816,421027840,3678208,187654144
7910813696,6858031104,770965504,6700609536,13.3,113471488,630128640,18210816,421027840,3678208,187375616
7910813696,6858031104,770965504,6700609536,13.3,113471488,630128640,18210816,421027840,3678208,187629568
7910813696,6858031104,770961408,6700609536,13.3,113471488,630128640,18210816,421031936,3678208,187621376
7910813696,6858031104,770961408,6700609536,13.3,113471488,630128640,18210816,421031936,3678208,187375616
7910813696,6858031104,770953216,6700609536,13.3,113471488,630128640,18219008,421031936,3678208,187555840
7910813696,6858031104,770953216,6700609536,13.3,113471488,630128640,18219008,421031936,3678208,187654144
7910813696,6858031104,770953216,6700609536,13.3,113471488,630128640,18219008,421031936,3678208,187383808
7910813696,6858031104,770953216,6700609536,13.3,113471488,630128640,18219008,421031936,3678208,187637760
7910813696,6858031104,770949120,6700609536,13.3,113471488,630128640,18219008,421036032,3678208,187940864
7910813696,6855987200,773017600,6698532864,13.3,113496064,630136832,18227200,421036032,3678208,187375616
7910813696,6855987200,773017600,6698532864,13.3,113496064,630136832,18227200,421036032,3678208,187629568
7910813696,6855987200,773017600,6698532864,13.3,113496064,630136832,18227200,421036032,3678208,187629568
7910813696,6855987200,773017600,6698532864,13.3,113496064,630136832,18227200,421036032,3678208,187383808
7910813696,6855733248,773271552,6698278912,13.3,113496064,630136832,18227200,421036032,3678208,187604992
7910813696,6855733248,773263360,6698278912,13.3,113496064,630132736,18235392,421036032,3678208,187817984
7910813696,6855991296,773013504,6698528768,13.3,113504256,630136832,18235392,421036032,3678208,187383808
7910813696,6855999488,773005312,6698536960,13.3,113504256,630136832,18235392,421036032,3678208,187658240
7910813696,6858117120,770879488,6700654592,13.3,113504256,630136832,18243584,421036032,3678208,187715584
7910813696,6858117120,770879488,6700654592,13.3,113504256,630136832,18243584,421036032,3678208,187396096
7910813696,6856048640,772956160,6698577920,13.3,113512448,630136832,18243584,421036032,3678208,187633664
7910813696,6855798784,773206016,6698328064,13.3,113512448,630636544,18243584,421036032,3678208,187518976
7910813696,6855274496,773730304,6697803776,13.3,113512448,630636544,18243584,421036032,3678208,187772928
7910813696,6855045120,773959680,6697574400,13.3,113512448,631001088,18243584,421036032,3678208,187396096
7910813696,6855045120,773959680,6697574400,13.3,113512448,631001088,18243584,421036032,3678208,187396096
7910813696,6855045120,773959680,6697574400,13.3,113512448,631001088,18243584,421036032,3678208,187650048
7910813696,6855045120,773951488,6697574400,13.3,113512448,631001088,18251776,421036032,3678208,187904000
7910813696,6855045120,773951488,6697574400,13.3,113512448,631001088,18251776,421036032,3678208,187691008
7910813696,6855045120,773951488,6697574400,13.3,113512448,631001088,18251776,421036032,3678208,188198912
7910813696,6854533120,774463488,6697062400,13.4,113512448,630120448,18251776,421036032,3678208,187396096
7910813696,6854533120,774463488,6697062400,13.4,113512448,630120448,18251776,421036032,3678208,187396096
7910813696,6854533120,774463488,6697062400,13.4,113512448,630120448,18251776,421036032,3678208,187650048
7910813696,6854533120,774463488,6697062400,13.4,113512448,630120448,18251776,421036032,3678208,187650048
7910813696,6854533120,774463488,6697062400,13.4,113512448,630120448,18251776,421036032,3678208,187650048
7910813696,6854533120,774463488,6697062400,13.4,113512448,630120448,18251776,421036032,3678208,187650048
7910813696,6854541312,774463488,6697062400,13.4,113520640,630132736,18251776,421036032,3678208,187387904
7910813696,6854541312,774455296,6697062400,13.4,113520640,630132736,18259968,421036032,3678208,187387904
7910813696,6854541312,774455296,6697062400,13.4,113520640,630132736,18259968,421036032,3678208,187641856
7910813696,6854541312,774455296,6697062400,13.4,113520640,630132736,18259968,421036032,3678208,187568128
7910813696,6856658944,772337664,6699180032,13.3,113520640,630132736,18259968,421036032,3678208,187691008
7910813696,6856658944,772337664,6699180032,13.3,113520640,630132736,18259968,421036032,3678208,187691008
7910813696,6856658944,772337664,6699180032,13.3,113520640,630132736,18259968,421036032,3678208,187420672
7910813696,6856658944,772337664,6699180032,13.3,113520640,630132736,18259968,421036032,3678208,187420672
7910813696,6856667136,772333568,6699180032,13.3,113528832,630161408,18259968,421040128,3678208,187641856
7910813696,6856667136,772333568,6699180032,13.3,113528832,630161408,18259968,421040128,3678208,187641856
7910813696,6856667136,772333568,6699180032,13.3,113528832,630161408,18259968,421040128,3678208,187641856
7910813696,6856667136,772325376,6699180032,13.3,113528832,630161408,18268160,421040128,3678208,187641856
7910813696,6856667136,772325376,6699180032,13.3,113528832,630161408,18268160,421040128,3678208,187674624
7910813696,6856667136,772325376,6699180032,13.3,113528832,630161408,18268160,421040128,3678208,187387904
7910813696,6856667136,772325376,6699180032,13.3,113528832,630161408,18268160,421040128,3678208,187387904
7910813696,6856667136,772325376,6699180032,13.3,113528832,630161408,18268160,421040128,3678208,187641856
7910813696,6856667136,772325376,6699180032,13.3,113528832,630161408,18268160,421040128,3678208,187895808
7910813696,6856667136,772325376,6699180032,13.3,113528832,630161408,18268160,421040128,3678208,187641856
7910813696,6856667136,772325376,6699180032,13.3,113528832,630161408,18268160,421040128,3678208,187895808
7910813696,6856916992,772075520,6699429888,13.3,113528832,630161408,18268160,421040128,3678208,187641856
7910813696,6856925184,772067328,6699438080,13.3,113528832,630222848,18268160,421040128,3678208,187387904
7910813696,6856925184,772067328,6699438080,13.3,113528832,630222848,18276352,421031936,3678208,187387904
7910813696,6856925184,772067328,6699438080,13.3,113528832,630222848,18276352,421031936,3678208,187559936
7910813696,6856925184,772067328,6699438080,13.3,113528832,630222848,18276352,421031936,3678208,187559936
7910813696,6854864896,774135808,6697361408,13.3,113545216,630222848,18276352,421040128,3678208,188198912
7910813696,6854864896,774135808,6697361408,13.3,113545216,630222848,18276352,421040128,3678208,187691008
7910813696,6854864896,774135808,6697361408,13.3,113545216,630222848,18276352,421040128,3678208,187437056
7910813696,6854868992,774135808,6697361408,13.3,113545216,630284288,18276352,421040128,3678208,187404288
7910813696,6854868992,774135808,6697361408,13.3,113545216,630284288,18276352,421040128,3678208,187658240
7910813696,6854868992,774135808,6697361408,13.3,113545216,630284288,18276352,421040128,3678208,187404288
7910813696,6854868992,774135808,6697361408,13.3,113545216,630284288,18276352,421040128,3678208,187404288
7910813696,6854868992,774135808,6697361408,13.3,113545216,630284288,18284544,421031936,3678208,187404288
7910813696,6854868992,774127616,6697361408,13.3,113545216,630284288,18284544,421040128,3678208,187469824
