total_swap(B),used_swap(B),free_swap(B),percent_used(%),swap_in(B),swap_out(B)
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
2147483648,0,2147483648,0.0,0,0
